四字熟語,読み,意味,漢検配当級
七歩之才,しちほのさい,「七歩」は七歩歩くという意味で、七歩歩く間にすぐれた詩を素早く作る詩の才能のこと。 三国時代、曹植の詩才に嫉妬した曹丕は七歩歩く間に詩を作ることが出来なければ処刑すると命じたところ、即座にすぐれた詩を作ったという故事から。,1級
七歩八叉,しちほはっさ,詩文の才能にめぐまれていること。 魏の曹植は七歩歩く間に詩を作り、唐の温庭インは八回腕を組む間に八韻の賦を作った故事から。 「叉」は腕を組むこと。,1級
悉皆成仏,しっかいじょうぶつ,「悉皆」は一つ残らず、全てのものという意味で、仏教語でこの世の生きている全てのものが成仏すること。,1級
漆身呑炭,しっしんどんたん,仇討ちや復讐をするために、非常に苦労すること。 「漆身」は漆を身体に塗る、「呑炭」は炭を呑むこと。 春秋時代、晋の予穣は主君の仇討ちをするために別人を装うために、漆を身体に塗って皮膚病を装い、炭を呑んで声が出ないようにして機会をうかがったという故事から。,1級
疾風怒濤,しっぷうどとう,「疾風」は強く速い風、「怒濤」はうねり逆巻く大波のことから、時代や社会の状況が激しく変化することのたとえ。 十八世紀のゲーテやシラーを中心とした文学革新運動の訳語。,1級
紫電一閃,しでんいっせん,刀剣などが稲妻のように一瞬きらりときらめくことから、一瞬や極めて短い時間のこと。 または、そのような少し時間で急激に変化すること。 「紫電」は刀を鋭く振るとひらめく稲妻のような光のこと。 「一閃」は一瞬のひらめきのこと。,1級
資弁捷疾,しべんしょうしつ,「資弁」は生まれつき弁舌が達者、「捷疾」は速いや素早いことから、生まれつき弁舌が達者で、行動が素早いこと。 中国古代の殷の紂王を評した故事が由来。,1級
子墨客卿,しぼくかくけい,文人。詩文を作る人のこと。 「子墨」は墨を擬人化した表現、「客卿」は他国から来ている客分待遇の高官のこと。,1級
七五三縄,しめなわ,鳥居や神棚などに飾ったり、神域を区別するために用いたりする縄のこと。 縄の網目に七、五、三筋のわらをはさんで垂らすことから由来する当て字。,1級
四面楚歌,しめんそか,周りを敵や反対者に囲まれており、味方がいなくて孤立している状態のこと。 楚の項羽は漢の劉邦に追い詰められたときに、夜になって漢の軍の中から聞こえてきた楚の国の歌をきいて、漢に降った楚の人が多いことを嘆き、敗北を悟った故事から。,1級
社燕秋鴻,しゃえんしゅうこう,出合って間もない間に分かれること。 「社燕」は春の社日にきて、秋の社日に去る燕、「秋鴻」は秋にきて春に去る白鳥のことで、燕と白鳥がすれ違う短い出会いという意味から。,1級
釈根灌枝,しゃくこんかんし,「釈根」は根を捨てる、「灌枝」は枝に水を注ぎかけるという意味から、他の事に気をとられて物事の本質を忘れること。 または、問題の本質を調べることをせずに結果だけを問題にすること。,1級
杓子果報,しゃくしかほう,「杓子」は菜や汁を盛る道具、「果報」は幸せのことで、杓子に食べ物が山盛りに配られるという意味から、運に恵まれること。,1級
杓子定規,しゃくしじょうぎ,杓子の柄を無理やり定規のかわりにするということから、一つの基準で全てを決めようとして応用や融通がきかなくなるという意味。,1級
車水馬竜,しゃすいばりょう,車や馬などの乗り物の往来がとてもにぎやかな様子。 車は流れる水のように、馬は竜のように連なっているという意味。,1級
周章狼狽,しゅうしょうろうばい,予想していなかったことが起きて、ひどく慌てること。 「周章」と「狼狽」はどちらもひどく慌てるという意味。 「狼」と「狽」はどちらも想像上の動物のことで、「狼」は後足が極端に短く、「狽」は前足が極端に短いため、離れるとうまく歩けずに倒れてしまうことから、「狼狽」でうまくいかずに慌てふためくという意味になった。,1級
終南捷径,しゅうなんしょうけい,正規の試験などをすることなく官職につくこと。または、終南山には仕官への近道があるということ。 「終南」は長安の南にある山の終南山のこと。 「捷径」は近道、最短距離の道のこと。 終南山で隠居していた盧蔵用が、則天武后に召されて官職を得た故事から、終南山で隠者のふりをすることで名声が上がって仕官への近道になるという意味。,1級
秋風索莫,しゅうふうさくばく,勢いが弱くなって、物寂しい様子のこと。 夏が過ぎて、秋の物寂しい風が吹くという意味から。 「索莫」は物寂しい様子。 「索莫」は「索漠」、「索寞」とも書く。,1級
秋風落莫,しゅうふうらくばく,勢いが弱くなって、物寂しい様子のこと。 夏が過ぎて、秋の物寂しい風が吹くという意味から。 「落莫」は物寂しい様子。,1級
衆妙之門,しゅうみょうのもん,全てのものが生まれ出るとされる門のこと。 「衆」は数が多いこと。 「妙」は様々な不思議な現象のこと。全てのもののことをいう。,1級
夙興夜寝,しゅくこうやしん,朝から夜遅くまでずっと仕事に精を出すこと。 「夙興」は朝早く起床すること。 「夜寝」は夜遅い時間に寝ること。 「夙に興き夜に寝ぬ」とも読む。,1級
輸攻墨守,しゅこうぼくしゅ,攻める方も守る方も知略を尽くして戦うこと。 「輸」は公輸盤、「墨」は墨子のことで、どちらも人の名前。 公輸盤が攻めて、墨子が守るという意味から。 宋を攻めようとしていた楚の公輸盤を墨子が机上の仮説で守り抜き、それを見て感嘆した楚王は、宋を攻めないことを誓ったという故事から。,1級
守株待兎,しゅしゅたいと,古いしきたりを守ることにしばられて、融通がきかないこと。 または、思いがけない幸運が起こることを頼りにする愚かさのこと。 「守株」は切り株を見つめること。 「待兎」は兎を待つこと。 中国の春秋時代の宋の国で、偶然に木の切り株にぶつかって死んだ兎を手に入れた農夫は、それからずっと切り株を見つめて過ごし、畑が荒れ果てたという故事から。 「株を守りて兎を待つ」とも読む。,1級
